Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
125624,B000Z91G4A,AJP2ROGSF3LXV,A. Kelley,0,0,5,###############################################################################################################################################################################################################################################################,Tasty healthy tea!,"This stuff is wonderful!  It's super easy to brew - just add cold water and leave it in the fridge and that's it!  It's naturally sweet so you don't even need to add sugar and trust me, I add sugar to *everything*.  It's also very healthy for you.  I'm surprised it's not more popular!  It's served at Alterra Coffee but this stuff should be picked up by Starbucks.  ;)"
488794,B005K4Q1YA,A1RZP06XLJV3LC,Robert P Johnson,0,0,3,###############################################################################################################################################################################################################################################################,Cappucino cups some were broken and not able to use,The box had been opened before and was taped with Scotch tape Several of the kcups were leaking into the box and had to be tossed That is the first time that has happened but I was very disappointed.
343515,B00004RBDZ,A3TJWW4R9GROTG,JR in Lafayette,0,0,3,###############################################################################################################################################################################################################################################################,Know your fly types & seasons,"Purchased for my dog kennel, I'd read a little about varieties of flies & don't think this one was for the variety we have.  Either that or by the time the Catchers came in I'd missed most of the 'season'. These didn't catch very many flies but, then .. note the aforementioned."
170825,B001EO5JLQ,A21MWMB5YNNZBY,Spinozist,0,0,1,###############################################################################################################################################################################################################################################################,Beware of New Great Taste,"For years I have been buying Barbara's corn flakes. The reason was they seemed very natural. They were a light yellow color, delicate and minimally processed. You could taste the freshness of the corn. I recently reordered the product from Amazon as I have done for years. On the front of the box is written""New Great Taste."" So it's not the box pictured here.<br /><br />This is a completely different product and I will not be reordering it. It is light brown whereas the old one was pale yellow. It has obviously been toasted several shades darker. The taste is dry not fresh. Due to the excessive toasting, I feel there has been nutrient loss. I'll be looking for another fresher corn flake to start my day.<br /><br />It saddens me to write this cause I really loved the old product and never tired of it,<br /><br />I will try to return my remaining  5 boxes to Barbaras since they cannot be returned to Amazon."
491558,B001EO773O,A2Z90KG8V5J72J,Deb,1,2,5,###############################################################################################################################################################################################################################################################,Delicious,"My husband and I have been addicted to this coffee since we first started buying it directly from the company several years ago. We love the smell, the caffeine kick and the taste. Sadly, I don't care about fair trade or organic much, but I love this coffee. We introduced it to my brother who is equally picky about coffee and he is addicted to it now. Whenever we eat out for breakfast or have coffee somewhere else, we wish we were at home drinking our coffee. Our friends all love coming over for it as well."
132434,B001E5E23Q,A1XYRSB5CW2TXP,Bogeyjc,0,0,4,###############################################################################################################################################################################################################################################################,Pilon Gourmet espresso coffee: Good stuff!!,"This coffee allows for a nice cup of java and seems to get a bit more crema than my old brand. It has a rich flavor, but not as bold as I hoped it would be. The price is good and delivery was fast using Amazon. Don't be afraid to use a bit more than normal, and tamp it well. As always, hot milk is the way to go . . . 2% is fine."
305027,B006J4MAUE,A1OPZ3BUTEL47R,Just My Op,0,0,4,###############################################################################################################################################################################################################################################################,"Non-GMO, Organic, Whole Grains...and Yummy!","This stuff is delicious.  I love that it has whole grains, is non-GMO, and is organic.  But all of that would have been pretty useless if it didn't taste good.  It has only 6 grams of sugar per serving although a serving is a skimpy 1/4 cup, pretty standard for other granola serving sizes.  Fat, at 55 calories out of 140, is a little higher than I'd like, but again, I think that is pretty typical of granola.<br /><br />There is lots of chocolate taste.  In fact there is so much chocolate that when the cereal was delivered to me on a warm day after having spent the morning in a UPS truck, there were chocolate smears inside the package.  I do suggest keeping it refrigerated during warm weather.<br /><br />I would have liked a little more berry taste.  When I did get some berry, it tasted wonderful, but most bites had much more chocolate taste than berry.  It does have coconut in it, but I didn't get a coconut taste.  And although this granola tastes good as a cereal, I prefer to eat it as a snack or crumbled as a topping on a plain dessert.<br /><br />In the final analysis, I'm very pleased with the taste and ingredients in this granola and would happily keep it in my pantry."
484047,B00416MK84,AY12DBB0U420B,Gary Peterson,0,0,4,###############################################################################################################################################################################################################################################################,"Not Ideal, But Pretty Good.","I enjoy jerky and like to try new kinds and new brands. Last week at the nearby Costco, I found 16-ounce packets of Pacific Gold Teriyaki Turkey Jerky, subdivided into two 8-ounce pouches. It's good! It's tender, but chewy. It has a nice flavor, but it's a little too sweet to be ideal for me. It has a very low fat and cholesterol, but is perhaps a little high on salt. The jerky seemed good and fresh, if you can apply that word to jerky. This stuff is pretty good. I don't think it's going to last long.<br /><br />Gary Peterson"
176829,B0019413WA,A2LPJXTHM87Y1B,Andrew J. Badertscher,0,0,3,###############################################################################################################################################################################################################################################################,just ok,"These taste fine, but they are sliced oddly (not into wedge like slices as I expected them to be). Since the slices are so thin, they crush easily and every package I've opened has been at least 1/2 crushed up little bits of fruit. This is great if you're adding them to something, such as oatmeal, but not so good for eating out of hand. I will not order these again, as I had purchased them for my baby and they are too small for his little fingers. Overall, I'm disappointed in this product and will not reorder."
176622,B0017SWABQ,A2FRFAQCWZJT3Q,"B. Davis ""The Happy Hermit""",1,1,4,###############################################################################################################################################################################################################################################################,Good gravy - mild taste,I enjoyed and plan to buy more of this product.  So far I've only tried the savory herb.  Cooking it is simple and it thickens to a perfect consistency.  For me the flavor is too subtle so I have to use it along with other seasonings plus olive oil and yeast flakes.  Leftover gravy turns watery but is still useable depending on what you are putting it on.
163895,B004E4FUGW,AKHFY3VCNZL2W,Dan Huse,1,3,1,###############################################################################################################################################################################################################################################################,Forget it. Complete gimmick. Buy Crystal Light instead.,"Sometimes, I am a sucker for the new stuff, and this is one fine example.  In my quest to drink more water, I sought out flavorings.  My perception of this product is quite different from the reality I experienced after buying it.<br /><br />Being a marketing professional myself, I think I have this gimmick figured out perfectly.  If only I had not fallen for it, I would feel a lot better.  So, here is how the gimmick goes:<br /><br />1. Rather than selling consumers perfectly portioned pouches of flavored powder, such as those sold under the Crystal Light brand and other brands, sell it to them in liquid form and claim that is has 24 servings inside.  This makes it seem like a good value per serving, but a ""serving"" is a meaningless measure, as consumers will squirt and squirt and squirt some more to get enough flavoring.  The bottle doesn't say how many squirts is 1 serving.  Rest assured, consumers will use far more than 1 serving at a time, and they will never know how many servings they really get from the bottle.<br /><br />2. Since a squirt bottle can come in only one flavor, consumers will have to buy lots of bottles, rather than just a nice variety pack of the single-serve Crystal Light or similar packets.  This ""pantry loading"", as they call it, not only leads to higher sales up front, but it also locks in the consumer, who feels wedded to his investment.<br /><br />3. Tell the consumer on the package that the contents should be used within 30 days of opening the bottle.  This will make consumers either (a) throw it out for fear that it has gone bad or (b) use it up faster to prevent if from going bad.  Either way, this means more sales from new sales.<br /><br />Interestingly, this product is made by the same company that sells Crystal Light--Kraft Foods.  This tells me they are not satisfied with certain aspects of Crystal Light, such as the fact that others make generic versions and sell them more cheaply.  Hence, they have created a product that competes with Crystal Light, in hopes that at least some of them will switch, leading to enhanced profitability and less competition from those pesky alternatives in powder form."
237359,B000H2998U,AE7Z95QRJMOLK,joeB,0,0,4,###############################################################################################################################################################################################################################################################,Wick Fowler Chili Kit,"good stuff; makes great chili; can be tailored to your taste.  Good price, quick shipment. Have tried many ""kits"" and home recipes; when this lot runs out, I'll buy more Wick Fowlers until the local (very rural) stores wise up."
436469,B000FFLTD2,ANI5WGCZ3FIF6,Randy Noval,1,1,1,###############################################################################################################################################################################################################################################################,photoshop at its finest,"I bought these thinking they would at least be somewhat like the picture and the noodles would be thick (like pad thai noodles...). instead what I got was an over-spiced (not spicy, just an attempt to mask the terrible product by throwing in too many spices), flat noodle soup that not only tasted terrible but was not filling in the least. You'll get better flavor and a more filling meal with the cheapest imitation ramen noodle product."
153354,B000E46LYQ,A2ZM5F1K76ZFUV,"J. Cupp ""EulerEquation""",0,0,3,###############################################################################################################################################################################################################################################################,Ground Meat Overly Sugarized Then Pressed Into Circle Patties,"This stuff is made from ground meat then formed into circle patties. It tastes OK, but not the quality of many grocery store brand jerkies. I am not going to buy this product anymore nor would I recommend it.<br /><br />The best buffalo jerky I have ever found is the Trader Joe's brand. They take whole pieces of thinly sliced buffalo steak and have sweet or spicy flavors. Great stuff!"
207870,B000CQID2Y,AINMG64N0CBEG,Oz,3,5,2,###############################################################################################################################################################################################################################################################,not as good as Yogi Tea's Lemon Ginger tea,"I am used to Yogi Tea's Lemon Ginger Tea, and for a change I wanted to try Stash's.<br />Unfortunately, I will go back to Yogi Tea's Lemon Ginger which tastes much nicer."
381047,B0048IFN1Q,A3E02KBFI21TY0,"Angela Risner ""Pretty in Orange""",0,0,5,###############################################################################################################################################################################################################################################################,Addicting,"I love these things.  The only problem is they are so expensive!  Yes, buying them on here is cheaper than in the store, but still!  But these are definitely delicious."
460847,B000SQIE0E,A2MX71MF0QLCIY,LIBRA1711,0,0,5,###############################################################################################################################################################################################################################################################,MY DOG LOVES THESE!,THESE ARE HEALTHY TREATS AND MY DOG ABSOLUTELY GOES CRAZY FOR THESE!  A TERRIFIC VALUE.  VERIFIED AMAZON PURCHASE.
117865,B004OA5XUE,A19XBW5WUDH1Z,David Nox,0,0,4,###############################################################################################################################################################################################################################################################,My Dogs love these,I have 4 Chihuahuas and they love these. They have never eaten fish based treats before and at first they just sniffed at them.<br />Finally one took the plunge and the rest followed. Now they love them. They are of of their favorite treats.<br />They do not have a strong fishy odor and are about the size of a wheat chex cereal.<br />They are not crunchy but sort of chewy like a fig newton.<br />I got these free with a bag of dog food I purchased from a seller on Amazon(Coupon code now expired).<br />Unless the code comes back or the price drops again I'm not sure I will buy them again. At over $1 an ounce they aren't cheap.<br />Looking at quality dog treats $1 an ounce seems to be the typical price range.<br />I can't help thinking at $18 a pound maybe I should start cooking up my own home made dog treats for them.
452240,B0039UXJ4M,A71F4MYVZQ6JO,Mary_dana,4,6,1,###############################################################################################################################################################################################################################################################,DOUBLE THE PRICE,These are double the price they sale the EXACT same product at Sam's Club for. What greedy people. Go to [...] You could almost buy a year membership for the extra price they charge. These people probably buy them at Sam's then charge you double.
35387,B000GW46D4,A13WBUX01Q4D35,A. Beckstedt,0,0,2,###############################################################################################################################################################################################################################################################,It's beef jerky ...,The taste on these are just not right and what I was expecting. I thought it would taste just like the bagged jerky but its not. I would stay clear and stick with the bagged jerky.
322437,B000AYDFCG,A3MB95ZAZ3BTQH,U. Salim,1,1,2,###############################################################################################################################################################################################################################################################,they are tatsty but got them too expensive at amazon,"They taste good but i think amazon is selling them very expensive, i get flyers from local safeway and they are much much cheaper.<br /><br />one would think that buying in bulk would save me money but no, not the case!! compare before you buy!"
113604,B000YHXEPC,A3VCOPG1MJSL6X,Natalie Luke,0,0,4,###############################################################################################################################################################################################################################################################,Great Gift!,"The gift set looks pretty nice upon arrival.  I bought as a gift for my grandmother and she loves it!  Really nice, clean scent."
165773,B000CPZSC8,A30TWWSW3PEPS6,Synthia,26,26,5,###############################################################################################################################################################################################################################################################,Pleasantly Suprised!,"After reading numerous reviews on these beans from JRmushroom and debating on whether or not I really needed them, I finally decided to just go ahead and order. At my local grocery store 1 woody, dried out bean is $7.99! These beans arrived 2 days after I ordered them and the quality is amazing. All of the beans are 6-8 inches long, juicy, plump and full of seeds. They have oily skin (as vanilla beans should) and the aroma is divine. I made vanilla bean cupcakes and vanilla bean ice cream and started homemade extract(half of this pack, about 22 beans). These beans are perfect. I can't believe the quality for the price. If you are debating, go for it. You won't regret it!<br /><br />******UPDATE*******<br />I am still just as pleased with these beans as I was when I first got them. After 3 months of maturation, my homemade vanilla extract is excellent! Dark brown and slightly ""syrupy"" and it will only get better with age. Total price of the beans used in the extract (22 whole beans, split ~$10.00) and the alcohol (smirnoff vodka750 ml. ~$9.00) just under $20.00 produced an entire quart/32 ouces of fantastic extract and seeing as the ""pure"" vanilla extract in my grocery is about $6.00 per 2 oz. bottle the savings is tremendous. I would still be saving a fair amount if I purchased vanilla in bulk (like at Costco.) It is simply a win-win."
71620,B001E95K4C,A1CWTB3NOLHCUX,"ChiaSpud ""Jason""",2,5,4,###############################################################################################################################################################################################################################################################,Screw the marketing...,"Forget about the advertising and marketing, advertisements are all LIES to make a quick buck anyway, in my my mind. I bought this out of pure curiosity because well...the advertisements worked and got me curious enough to try it. Did it get me laid? Of course not, not even close. I DO however really like the smell of it and that's enough for me! If a girl doesn't like the way you smell, forget 'em, they weren't worth your time in the first place! :-P<br />This a good scent for me and that's that!  :-D  Also check out Axe ""Fever"", that's a good one too."
484490,B007FNXI18,A2H2I5FY1PUHP1,Boilermate,0,0,3,###############################################################################################################################################################################################################################################################,Meh,"I'm not sure what variety of peppers they used, but this, to me, is all heat and no flavor. I won't buy it again."
460866,B001EO69RY,A4EVGW2TJSGLE,R. M. Parker,0,0,5,###############################################################################################################################################################################################################################################################,Hot Stuff,This sauce is exactly what I was looking for.  Really hot so a little goes a long way.  Yummmmmmmmmm.
421097,B00117GEGU,A2CY870PB5WEIC,Mark Smith,1,1,3,###############################################################################################################################################################################################################################################################,Definitely only culinary grade,"This matcha is not good enough for drinking straight. It doesn't have the bright green color and good aroma that a good quality matcha should. However, it IS labelled as culinary grade, which really means for adding to ice cream, smoothies etc. And for that, it's OK. Don't expect anything more!"
106542,B00423UVJQ,A20QS4FVZ9X392,Janice,1,1,5,###############################################################################################################################################################################################################################################################,Perfect size-not too big and not too small,"We have 2 dogs, one slightly overweight and one puppy.  These treats were the perfect size for both-not too much for the older and just right for the younger.  Plus they loved them!"
523228,B004H4R59Y,A3JH7YBI4770DH,"S. Woodworth ""Genie expert""",1,2,2,###############################################################################################################################################################################################################################################################,not crazy about taste,I had never tried lentil chips before and couldn't find them in the local stores.  I had to order a case of them and now have discovered neither my husband nor myself like them very much.  Kind of a cardboard/foam texture to them.  Not sure what I will do with them...
182169,B002GWFAEG,A2E5JM50T65ICP,Digital Birdie,0,1,2,###############################################################################################################################################################################################################################################################,"Fair price for the quantity, but the coffee is just ""average""","I bought this coffee thinking it might replace my Trader Joes breakfast blend. But other than the pice, there's no comparison. TJ's House Blend is rich, earthy, smooth, with many good overtones. This coffee - the <a href=""http://www.amazon.com/gp/product/B002GWFAEG"">Coffee Bean Direct Medium House Blend, Whole Bean Coffee, 5-Pound Bag</a> - is bright and bitter, slightly harsh and nondescript in flavor.<br /><br />It serves me right for trying to save a few pennies on the TJ House Blend, but never again.  <a href=""http://www.amazon.com/gp/product/B002GWFAEG"">Coffee Bean Direct Medium House Blend, Whole Bean Coffee, 5-Pound Bag</a> may appeal to a few people trying to step up from ""Mawell House"", but a rich, elegant, complex morning coffee it isn't. What it is, is another nondescript entry into the many ""E&E"" (Elite and Economical) coffees that are fast flooding the coffee aisles."
443173,B001EPPFT6,A6KL17KKN0A5L,K. Harper,0,2,4,###############################################################################################################################################################################################################################################################,I buy these for my dogs.,"I buy these cheaper canned salmon for my dogs sometime. I tried it, but I didn't like the fishy taste of this canned salmon compared to the sock eye type. Of course these are cheaper but I just can't bare that fishiness. BUT, great for my dogs and they love them. I buy these to feed them sometime instead of those canned especially made for dogs. I believe these have higher quality nutritionally as these are intended to use for human consumption."
217777,B000CQG87Q,A34F2WZJ2HXX1B,"V. Fletche ""vanessa""",0,1,3,###############################################################################################################################################################################################################################################################,SOY??? WHY?,"Maybe I didn't read the ingredient list thoroughly, because I was not expecting to find SOY in my tea!! What a disappointment! I called Stash to find out if the soy was GMO, and...the woman in customer service guarenteed me the suppliers sell them non-GMO soy. If this is the case, they really should label it as such. I like the flavor though, it's very soothing and gentle on the tummy (hence the three stars). The only way I will order again is if they start labeling the soy as non-GMO, i can't trust the product without a label!<br /><br />PS: after reading ingredient list again, I found NO mention of soy..."
125610,B000EBKS9S,A3T0SWLO1GL9VM,Anna Marie Anderson,0,0,5,###############################################################################################################################################################################################################################################################,Crunchy Dog Treats,"My Yorkies love these treats.  They are the perfect size for smaller breeds, and the crunchiness helps to reduce tartar.  Apparently they taste pretty good, too, as they will all do just about anything to get some!  The boxes arrived well packaged."
384191,B000EVWQZW,A1AAK7K92MA4M8,"L. Mitter ""colormist""",0,0,5,###############################################################################################################################################################################################################################################################,Makes the BEST Gluten Free crust,"I've tried a few different methods for making Gluten-free crust, and this mix is by FAR the best value for the money. One box makes enough dough for two pizzas (at least two--I like thick crust)."
90106,B00866AM2G,A30NLW10BZXE66,"Tracy Givens ""jobgem""",0,0,4,###############################################################################################################################################################################################################################################################,One of my favorites,I have been drinking this brand of coconut water for a while.  It is a great tasting product and the cost with amazon is reasonable. The Vita Coco brand tatses better than any of the other brands including Zico.
254228,B001EQ5JLY,A1ERIM2XQLMPHQ,Nathan Day,0,0,5,###############################################################################################################################################################################################################################################################,very good taste not strong,i have enjoyed this tea for a few years now. i use it for ice tea.  about 4 bags to one pint of hot water. then add one pint cold water and sweeten to taste.
347412,B000BF3AGU,A2Z2QSDBK270Q8,randyreal6,1,2,1,###############################################################################################################################################################################################################################################################,Yuugh!!,"These are the worst tasting Vegan Hot Dogs  i ever tasted!! The Big Franks are good But these taste Awful!!! I have to throw them out! They are that bad! They taste like Metal They fall apart, And the Liquid they come in is really nasty! This should not be Sold!"
438784,B005HGAV8I,A2C0OC4T3IG893,lday111,3,3,2,###############################################################################################################################################################################################################################################################,Photo of selection is VERY misleading,"Maybe we're the only ones that actually enlarged the photo of the 35 K Cups before we placed our order.  We wanted to make sure that the variety was indeed something that we felt we would enjoy.  Obviously ""variety"" is just that, various flavors.  However we did expect to at least receive ONE of each flavor shown on the photo, and we did NOT expect to receive SEVEN pumpkin spice, FIVE eggnog, and FIVE Gingerbread (none of which are in the display photo) when placing our very first order with Amazon in January!  Of the 35 K Cups, 17 (almost half) were holiday flavors - I mean, come on at least be honest enough to promote the product as ""nearing experation holiday coffee samplers that we can't get rid of...here's hoping you won't notice"".  Seriously, give a little credit to the intelligience of your customers, or in our case ""first and only orders""."
481404,B003Y3GW9S,AHJSCQK1FBVC0,YT,0,0,2,###############################################################################################################################################################################################################################################################,Poor packing,"My daughter loves this Spring Vegi Pasta. So I ordered a dozen Earth's Best Junior Baby Food Organic Spring Vegetable and Pasta, 6-Ounce Jars (Pack of 12) - very disappointed to have a package arrived broken leaving me a huge mass and short food supply! I ordered previously the stage 1 and stage 2 with the same brand ( forgot the seller) which arrived in perfect condition with a tight box wrapped with plastic. Another disappointment is that it's not eligible for return! A huge mass and waste of money!!"
144797,B000R2IWGK,A3ANPH1TFCBDFW,blowfly13,6,8,1,###############################################################################################################################################################################################################################################################,shipping really high - buy at Wegman's,"This product tastes good, but you can buy it for $9 at Wegman's. If you get it from this place, you pay $26 (TWENTY SIX!) for shipping and handling. Why? All I found was a freezer pack! What a ripoff. When I asked about the high shipping, the response was fairly snotty. When we received the product, we found it labeled ""specially selected for Wegman's."" Sure enough, next time we went, there it was. In addition, two of the containers had an expiration in two weeks! All in all, the shipping costs make this a big ripoff. Get it at Wegman's."
442653,B004W7TB3Y,A3TTIGRDKH9T6O,Jeff Maniatis,1,18,1,###############################################################################################################################################################################################################################################################,I Will Never know,I will never know how this product is.<br />Amazon/Starbucks chose to send this order with the requirement I sign for it!  Why they would do this on a $20.00 order is beyond me.  I work and am not home to sign for packages.  The package was returned and Amazon/Starbucks has yet to reply to my emails or even return my money.<br />This in my first Amazon disappointment and I have ben a customer for nearly 10 years.
226372,B001ONVOAM,A2YQ2ZI65F37N8,T. Gaston,1,1,3,###############################################################################################################################################################################################################################################################,so - so,"As a fan of shredded wheat type cereals, the cereal pieces are the right size and have a great crispiness.  And I love vanilla, but the mixture in the cereal is not quiet right.  Maybe it needs more vanilla.  To me it just has an odd flavor, bordering on a stale flavor."
74586,B001COE1AI,A3FWON9AQJ8QUX,SCRS,0,0,1,###############################################################################################################################################################################################################################################################,past due,"These almonds tasted awful.  I would have returned them or tried to get a replacement, but could not find that option.  They tasted like they were past the fresh date.  Maybe the squirrels will eat them."
59643,B000W5SLB8,A25424QZ8NHIIJ,"Harry Houdini ""No jail can hold me!!!""",7,21,1,###############################################################################################################################################################################################################################################################,It gave my dog the runs.,"We bought a bag of Taste of the Wild after reading all the good reviews on Amazon. Our dog really seemed to like it, and do well with eating it. We bought a second bag. Again, our dog seemed to like it...but she developed a terrible case of diarrhea. We fed her chicken and rice for a while 'til things calmed down. We switched to Science Diet for sensitive stomachs, and then Eukanuba for retrievers. (Sadie is a flat coated retriever.) Her tummy troubles went away. After finishing those bags, we restarted Taste of the Wild...and the diarrhea returned. We looked at a lot of different variables...and it really seems to be this particular food that caused the problem.<br /><br />We won't be buying it again. In fact, we are throwing away what we have left."
70170,B007I7Z3Z0,A1U7LS93I03MFW,Christopher K. Koenigsberg,0,1,3,###############################################################################################################################################################################################################################################################,OK,"Disclaimer: I am reviewing a package that I received for free through the Vine program.<br /><br />Well, it's OK. I probably wouldn't buy it, but I don't usually buy instant iced tea mixes anyway.<br />The fruit flavor is OK. I can't comment on the naturalness vs unnaturalness of the ingredients etc like other reviewers.<br /><br />I'd probably just brew my own fresh green tea and chill it in the fridge..."
47335,B001444G5Q,A1OFRF2KPU5T7C,Al,0,0,2,###############################################################################################################################################################################################################################################################,Not a true variety,"We were very disappointed with the variety of chocolates in this bag.  The bag lists 9 different bars, but most of them were Nestle Crunch (100 out of 150 of the pieces).  We got very few of some of the other varieties, and we got ZERO Kit Kats, as were supposed to be included.  Also, the weight of the bag is 5 pounds.  Many of the candy bars were squashed."
